dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat,measurement_mode
Crime,Nomos,10,139,57.7001,1,measured
Crime,Nomos,10,140,57.521,1,measured
Crime,Nomos,10,141,57.7791,1,measured
Crime,Nomos,10,142,57.3896,1,measured
Crime,Nomos,10,143,54.0031,1,measured
Crime,Nomos,10,144,56.7886,1,measured
Crime,Nomos,10,145,57.7489,1,measured
Crime,Nomos,10,146,58.0854,1,measured
Crime,Nomos,10,147,57.3976,1,measured
Crime,Nomos,10,148,57.8405,1,measured
Crime,Nomos,10,149,57.4947,1,measured
Crime,Nomos,10,150,57.5081,1,measured
Crime,Nomos,10,151,57.5414,1,measured
Crime,Nomos,10,152,57.4802,1,measured
Crime,Nomos,10,153,53.7215,1,measured
Crime,Nomos,10,154,53.8257,1,measured
Crime,Nomos,10,155,57.768,1,measured
Crime,Nomos,10,156,59.4099,1,measured
Crime,Nomos,10,157,62.0804,1,measured
Crime,Nomos,10,158,58.4496,1,measured
Crime,Nomos,10,159,60.2048,1,measured
Crime,Nomos,10,160,64.9802,1,measured
Crime,Nomos,10,161,57.6503,1,measured
Crime,Nomos,10,162,57.9826,1,measured
Crime,Nomos,10,163,58.735,1,measured
Crime,Nomos,10,164,58.9616,1,measured
Crime,Nomos,10,165,57.5864,1,measured
Crime,Nomos,10,166,63.6977,1,measured
Crime,Nomos,10,167,65.8123,1,measured
Crime,Nomos,10,168,62.2407,1,measured
Crime,Nomos,10,169,58.403,1,measured
Crime,Nomos,10,170,58.4675,1,measured
Crime,Nomos,10,171,60.6773,1,measured
Crime,Nomos,10,172,64.0973,1,measured
Crime,Nomos,10,173,62.9753,1,measured
Crime,Nomos,10,174,58.4153,1,measured
Crime,Nomos,10,175,62.0175,1,measured
Crime,Nomos,10,176,67.0565,1,measured
Crime,Nomos,10,177,65.5737,1,measured
Crime,Nomos,10,178,65.6733,1,measured
Crime,Nomos,10,179,76.7806,1,measured
Crime,Nomos,10,180,65.2275,1,measured
Crime,Nomos,10,181,66.2625,1,measured
Crime,Nomos,10,182,65.2948,1,measured
Crime,Nomos,10,183,68.0285,1,measured
Crime,Nomos,10,184,68.7842,1,measured
Crime,Nomos,10,185,65.9746,1,measured
Crime,Nomos,10,186,66.0953,1,measured
Crime,Nomos,10,187,65.0407,1,measured
Crime,Nomos,10,188,65.115,1,measured
Crime,Nomos,10,189,65.6491,1,measured
Crime,Nomos,10,190,60.1064,1,measured
Crime,Nomos,10,191,64.5774,1,measured
Crime,Nomos,10,192,58.7671,1,measured
Crime,Nomos,10,193,57.7358,1,measured
Crime,Nomos,10,194,63.0135,1,measured
Crime,Nomos,10,195,67.3646,1,measured
Crime,Nomos,10,196,66.0268,1,measured
Crime,Nomos,10,197,62.7137,1,measured
Crime,Nomos,10,198,58.7622,1,measured
Crime,Nomos,10,199,57.7204,1,measured
Crime,Nomos,10,200,58.7004,1,measured
Crime,Nomos,10,201,59.0719,1,measured
Crime,Nomos,10,202,59.8458,1,measured
Crime,Nomos,10,203,61.0826,1,measured
Crime,Nomos,10,204,65.5463,1,measured
Crime,Nomos,10,205,65.0972,1,measured
Crime,Nomos,10,206,64.8222,1,measured
Crime,Nomos,10,207,64.9458,1,measured
Crime,Nomos,10,208,57.9951,1,measured
Crime,Nomos,10,209,58.2978,1,measured
Crime,Nomos,10,210,61.3422,1,measured
Crime,Nomos,10,211,59.6582,1,measured
Crime,Nomos,10,212,57.273,1,measured
Crime,Nomos,10,213,58.9898,1,measured
Crime,Nomos,10,214,64.7338,1,measured
Crime,Nomos,10,215,66.0623,1,measured
Crime,Nomos,10,216,64.5068,1,measured
Crime,Nomos,10,217,61.7766,1,measured
Crime,Nomos,10,218,58.548,1,measured
Crime,Nomos,10,219,58.2448,1,measured
Crime,Nomos,10,220,62.3953,1,measured
Crime,Nomos,10,221,61.184,1,measured
Crime,Nomos,10,222,75.1739,1,measured
Crime,Nomos,10,223,74.982,1,measured
Crime,Nomos,10,224,81.5117,1,measured
Crime,Nomos,10,225,71.902,1,measured
Crime,Nomos,10,226,214.245,1,measured
Crime,Nomos,10,227,77.6668,1,measured
Crime,Nomos,10,228,72.074,1,measured
Crime,Nomos,10,229,65.7454,1,measured
Crime,Nomos,10,230,136.548,1,measured
Crime,Nomos,10,231,75.2303,1,measured
Crime,Nomos,10,232,67.5374,1,measured
Crime,Nomos,10,233,66.2556,1,measured
Crime,Nomos,10,234,67.2838,1,measured
Crime,Nomos,10,235,66.2755,1,measured
Crime,Nomos,10,236,67.563,1,measured
Crime,Nomos,10,237,64.8016,1,measured
Crime,Nomos,10,238,64.8261,1,measured
Crime,Nomos,10,239,65.8906,1,measured
Crime,Nomos,10,240,65.1114,1,measured
Crime,Nomos,10,241,66.7098,1,measured
Crime,Nomos,10,242,95.8508,1,measured
Crime,Nomos,10,243,74.641,1,measured
Crime,Nomos,10,244,81.3166,1,measured
Crime,Nomos,10,245,78.4182,1,measured
Crime,Nomos,10,246,82.259,1,measured
Crime,Nomos,10,247,82.2507,1,measured
Crime,Nomos,10,248,75.3187,1,measured
Crime,Nomos,10,249,73.9068,1,measured
Crime,Nomos,10,250,65.2741,1,measured
Crime,Nomos,10,251,75.1758,1,measured
Crime,Nomos,10,252,72.8094,1,measured
Crime,Nomos,10,253,65.4788,1,measured
Crime,Nomos,10,254,65.1713,1,measured
Crime,Nomos,10,255,71.3326,1,measured
Crime,Nomos,10,256,66.4871,1,measured
Crime,Nomos,10,257,67.1121,1,measured
Crime,Nomos,10,258,65.4826,1,measured
Crime,Nomos,10,259,64.6995,1,measured
Crime,Nomos,10,260,65.1316,1,measured
Crime,Nomos,10,261,64.9848,1,measured
Crime,Nomos,10,262,63.9972,1,measured
Crime,Nomos,10,263,71.2411,1,measured
Crime,Nomos,10,264,69.0599,1,measured
Crime,Nomos,10,265,65.7771,1,measured
Crime,Nomos,10,266,68.9785,1,measured
Crime,Nomos,10,267,76.9081,1,measured
Crime,Nomos,10,268,69.2969,1,measured
Crime,Nomos,10,269,63.9685,1,measured
Crime,Nomos,10,270,94.1232,1,measured
Crime,Nomos,10,271,67.1164,1,measured
Crime,Nomos,10,272,64.3012,1,measured
Crime,Nomos,10,273,65.3517,1,measured
Crime,Nomos,10,274,64.8755,1,measured
Crime,Nomos,10,275,65.6137,1,measured
Crime,Nomos,10,276,64.6903,1,measured
Crime,Nomos,10,277,61.0782,1,measured
Crime,Nomos,10,278,57.728,1,measured
Crime,Nomos,10,279,57.7115,1,measured
Crime,Nomos,10,280,57.3511,1,measured
Crime,Nomos,10,281,58.1223,1,measured
Crime,Nomos,10,282,58.0502,1,measured
Crime,Nomos,10,283,60.3318,1,measured
Crime,Nomos,10,284,92.5278,1,measured
Crime,Nomos,10,285,83.426,1,measured
Crime,Nomos,10,286,64.7881,1,measured
Crime,Nomos,10,287,65.3639,1,measured
Crime,Nomos,10,288,64.8944,1,measured
Crime,Nomos,10,289,67.5565,1,measured
Crime,Nomos,10,290,122.189,1,measured
Crime,Nomos,10,291,86.1719,1,measured
Crime,Nomos,10,292,72.646,1,measured
Crime,Nomos,10,293,72.8711,1,measured
Crime,Nomos,10,294,64.3424,1,measured
Crime,Nomos,10,295,63.2495,1,measured
Crime,Nomos,10,296,87.1406,1,measured
Crime,Nomos,10,297,72.9385,1,measured
Crime,Nomos,10,298,64.4207,1,measured
Crime,Nomos,10,299,65.2093,1,measured
Crime,Nomos,10,300,64.2259,1,measured
Crime,Nomos,10,301,70.8076,1,measured
Crime,Nomos,10,302,67.2514,1,measured
Crime,Nomos,10,303,67.207,1,measured
Crime,Nomos,10,304,64.5965,1,measured
Crime,Nomos,10,305,64.7082,1,measured
