dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat
Crime,MC-ODXT,133,16644,3.75196,1
Crime,MC-ODXT,134,16644,3.75712,1
Crime,MC-ODXT,135,16644,3.75575,1
Crime,MC-ODXT,136,16644,3.75904,1
Crime,MC-ODXT,137,16644,3.75429,1
Crime,MC-ODXT,138,16644,3.7665,1
Crime,MC-ODXT,139,16644,3.74871,1
Crime,MC-ODXT,140,16644,3.76037,1
Crime,MC-ODXT,141,16644,3.74162,1
Crime,MC-ODXT,142,16644,3.72604,1
Crime,MC-ODXT,143,16644,3.73067,1
Crime,MC-ODXT,144,16644,3.74612,1
Crime,MC-ODXT,145,16644,3.72762,1
Crime,MC-ODXT,146,16644,3.74246,1
Crime,MC-ODXT,147,16644,3.73146,1
Crime,MC-ODXT,148,16644,3.73938,1
Crime,MC-ODXT,149,16644,3.73387,1
Crime,MC-ODXT,150,16644,3.73817,1
Crime,MC-ODXT,151,16644,3.736,1
Crime,MC-ODXT,152,16644,3.73087,1
Crime,MC-ODXT,153,16644,3.77213,1
Crime,MC-ODXT,154,16644,3.74596,1
Crime,MC-ODXT,155,16644,3.72817,1
Crime,MC-ODXT,156,16644,3.71404,1
Crime,MC-ODXT,157,16644,3.7285,1
Crime,MC-ODXT,158,16644,3.73042,1
Crime,MC-ODXT,159,16644,3.72346,1
Crime,MC-ODXT,160,16644,3.71854,1
Crime,MC-ODXT,161,16644,3.73854,1
Crime,MC-ODXT,162,16644,3.73825,1
Crime,MC-ODXT,163,16644,3.70275,1
Crime,MC-ODXT,164,16644,3.72937,1
Crime,MC-ODXT,165,16644,3.73275,1
Crime,MC-ODXT,166,16644,3.72642,1
Crime,MC-ODXT,167,16644,3.71271,1
Crime,MC-ODXT,168,16644,4.0195,1
Crime,MC-ODXT,169,16644,3.77092,1
Crime,MC-ODXT,170,16644,3.73329,1
Crime,MC-ODXT,171,16644,3.80104,1
Crime,MC-ODXT,172,16644,4.00421,1
Crime,MC-ODXT,173,16644,3.82621,1
Crime,MC-ODXT,174,16644,3.82617,1
Crime,MC-ODXT,175,16644,3.78996,1
Crime,MC-ODXT,176,16644,3.78617,1
Crime,MC-ODXT,177,16644,3.75508,1
Crime,MC-ODXT,178,16644,3.79642,1
Crime,MC-ODXT,179,16644,3.87071,1
Crime,MC-ODXT,180,16644,3.87025,1
Crime,MC-ODXT,181,16644,3.79467,1
Crime,MC-ODXT,182,16644,3.77967,1
Crime,MC-ODXT,183,16644,3.77617,1
Crime,MC-ODXT,184,16644,3.80058,1
Crime,MC-ODXT,185,16644,3.78238,1
Crime,MC-ODXT,186,16644,3.81758,1
Crime,MC-ODXT,187,16644,3.80921,1
Crime,MC-ODXT,188,16644,3.79954,1
Crime,MC-ODXT,189,16644,3.8,1
Crime,MC-ODXT,190,16644,3.78517,1
Crime,MC-ODXT,191,16644,3.79083,1
Crime,MC-ODXT,192,16644,3.79817,1
Crime,MC-ODXT,193,16644,3.80392,1
Crime,MC-ODXT,194,16644,3.74942,1
Crime,MC-ODXT,195,16644,3.76008,1
Crime,MC-ODXT,196,16644,3.78517,1
Crime,MC-ODXT,197,16644,3.78887,1
Crime,MC-ODXT,198,16644,3.79696,1
Crime,MC-ODXT,199,16644,3.74479,1
Crime,MC-ODXT,200,16644,3.76858,1
Crime,MC-ODXT,201,16644,3.74804,1
Crime,MC-ODXT,202,16644,3.74054,1
Crime,MC-ODXT,203,16644,3.76687,1
Crime,MC-ODXT,204,16644,3.75621,1
Crime,MC-ODXT,205,16644,3.75671,1
Crime,MC-ODXT,206,16644,3.75829,1
Crime,MC-ODXT,207,16644,3.74846,1
Crime,MC-ODXT,208,16644,3.82046,1
Crime,MC-ODXT,209,16644,3.76521,1
Crime,MC-ODXT,210,16644,3.77967,1
Crime,MC-ODXT,211,16644,3.72654,1
Crime,MC-ODXT,212,16644,3.74146,1
Crime,MC-ODXT,213,16644,3.73412,1
Crime,MC-ODXT,214,16644,3.748,1
Crime,MC-ODXT,215,16644,3.72592,1
Crime,MC-ODXT,216,16644,3.74825,1
Crime,MC-ODXT,217,16644,3.76146,1
Crime,MC-ODXT,218,16644,3.74033,1
Crime,MC-ODXT,219,16644,3.73679,1
Crime,MC-ODXT,220,16644,3.74592,1
Crime,MC-ODXT,221,16644,3.72804,1
Crime,MC-ODXT,222,16644,3.752,1
Crime,MC-ODXT,223,16644,3.732,1
Crime,MC-ODXT,224,16644,3.73716,1
Crime,MC-ODXT,225,16644,3.7265,1
Crime,MC-ODXT,226,16644,3.74392,1
Crime,MC-ODXT,227,16644,3.75613,1
Crime,MC-ODXT,228,16644,3.7345,1
Crime,MC-ODXT,229,16644,3.72262,1
Crime,MC-ODXT,230,16644,3.73217,1
Crime,MC-ODXT,231,16644,3.74546,1
Crime,MC-ODXT,232,16644,3.75333,1
Crime,MC-ODXT,233,16644,3.73242,1
Crime,MC-ODXT,234,16644,3.80579,1
Crime,MC-ODXT,235,16644,3.753,1
Crime,MC-ODXT,236,16644,3.79367,1
Crime,MC-ODXT,237,16644,3.84833,1
Crime,MC-ODXT,238,16644,3.81887,1
Crime,MC-ODXT,239,16644,3.75446,1
Crime,MC-ODXT,240,16644,4.06296,1
Crime,MC-ODXT,241,16644,3.747,1
Crime,MC-ODXT,242,16644,3.71079,1
Crime,MC-ODXT,243,16644,3.73242,1
Crime,MC-ODXT,244,16644,3.73642,1
Crime,MC-ODXT,245,16644,3.73733,1
Crime,MC-ODXT,246,16644,3.72138,1
Crime,MC-ODXT,247,16644,3.72046,1
Crime,MC-ODXT,248,16644,3.74179,1
Crime,MC-ODXT,249,16644,3.73833,1
Crime,MC-ODXT,250,16644,3.73383,1
Crime,MC-ODXT,251,16644,3.83058,1
Crime,MC-ODXT,252,16644,3.79454,1
Crime,MC-ODXT,253,16644,3.80696,1
Crime,MC-ODXT,254,16644,3.82517,1
Crime,MC-ODXT,255,16644,3.83221,1
Crime,MC-ODXT,256,16644,3.82004,1
Crime,MC-ODXT,257,16644,3.89338,1
Crime,MC-ODXT,258,16644,3.81571,1
Crime,MC-ODXT,259,16644,3.80038,1
Crime,MC-ODXT,260,16644,3.83996,1
Crime,MC-ODXT,261,16644,3.80004,1
Crime,MC-ODXT,262,16644,3.78504,1
Crime,MC-ODXT,263,16644,3.75633,1
Crime,MC-ODXT,264,16644,3.73462,1
Crime,MC-ODXT,265,16644,3.74154,1
Crime,MC-ODXT,266,16644,3.75529,1
Crime,MC-ODXT,267,16644,3.74712,1
Crime,MC-ODXT,268,16644,3.75346,1
Crime,MC-ODXT,269,16644,3.78375,1
Crime,MC-ODXT,270,16644,3.76767,1
Crime,MC-ODXT,271,16644,3.76829,1
Crime,MC-ODXT,272,16644,3.742,1
Crime,MC-ODXT,273,16644,3.75758,1
Crime,MC-ODXT,274,16644,3.74908,1
Crime,MC-ODXT,275,16644,3.75317,1
Crime,MC-ODXT,276,16644,3.74821,1
Crime,MC-ODXT,277,16644,3.76779,1
Crime,MC-ODXT,278,16644,3.79804,1
Crime,MC-ODXT,279,16644,3.75354,1
Crime,MC-ODXT,280,16644,3.75025,1
Crime,MC-ODXT,281,16644,3.83063,1
Crime,MC-ODXT,282,16644,3.75675,1
Crime,MC-ODXT,283,16644,3.78088,1
Crime,MC-ODXT,284,16644,3.76538,1
Crime,MC-ODXT,285,16644,3.96892,1
Crime,MC-ODXT,286,16644,3.82779,1
Crime,MC-ODXT,287,16644,3.81896,1
Crime,MC-ODXT,288,16644,3.74604,1
Crime,MC-ODXT,289,16644,3.74896,1
Crime,MC-ODXT,290,16644,3.72546,1
Crime,MC-ODXT,291,16644,3.73787,1
Crime,MC-ODXT,292,16644,3.73917,1
Crime,MC-ODXT,293,16644,3.73238,1
Crime,MC-ODXT,294,16644,3.76308,1
Crime,MC-ODXT,295,16644,3.75725,1
Crime,MC-ODXT,296,16644,3.74054,1
Crime,MC-ODXT,297,16644,3.87138,1
Crime,MC-ODXT,298,16644,3.82829,1
Crime,MC-ODXT,299,16644,3.92742,1
Crime,MC-ODXT,300,16644,4.07075,1
Crime,MC-ODXT,301,16644,4.075,1
Crime,MC-ODXT,302,16644,3.9875,1
Crime,MC-ODXT,303,16644,3.88733,1
Crime,MC-ODXT,304,16644,4.24658,1
Crime,MC-ODXT,305,16644,3.95521,1
Crime,MC-ODXT,306,16644,3.92217,1
Crime,MC-ODXT,307,16644,3.84888,1
Crime,MC-ODXT,308,16644,3.85767,1
Crime,MC-ODXT,309,16644,3.98575,1
Crime,MC-ODXT,310,16644,3.9755,1
Crime,MC-ODXT,311,16644,3.94471,1
Crime,MC-ODXT,312,16644,4.0165,1
Crime,MC-ODXT,313,16644,3.9515,1
Crime,MC-ODXT,314,16644,3.90554,1
Crime,MC-ODXT,315,16644,3.87887,1
Crime,MC-ODXT,316,16644,3.87312,1
Crime,MC-ODXT,317,16644,4.02275,1
Crime,MC-ODXT,318,16644,3.82292,1
Crime,MC-ODXT,319,16644,3.8245,1
Crime,MC-ODXT,320,16644,3.832,1
Crime,MC-ODXT,321,16644,3.81733,1
Crime,MC-ODXT,322,16644,3.81279,1
Crime,MC-ODXT,323,16644,3.80821,1
Crime,MC-ODXT,324,16644,3.81192,1
Crime,MC-ODXT,325,16644,3.79821,1
Crime,MC-ODXT,326,16644,3.83225,1
Crime,MC-ODXT,327,16644,3.74829,1
Crime,MC-ODXT,328,16644,3.74737,1
Crime,MC-ODXT,329,16644,3.74275,1
Crime,MC-ODXT,330,16644,3.74662,1
Crime,MC-ODXT,331,16644,3.79117,1
Crime,MC-ODXT,332,16644,3.75479,1
Crime,MC-ODXT,333,16644,3.85108,1
Crime,MC-ODXT,334,16644,3.75612,1
Crime,MC-ODXT,335,16644,3.77971,1
Crime,MC-ODXT,336,16644,3.75712,1
Crime,MC-ODXT,337,16644,3.72771,1
Crime,MC-ODXT,338,16644,3.73392,1
Crime,MC-ODXT,339,16644,3.74308,1
Crime,MC-ODXT,340,16644,3.75017,1
