dataset,scheme,upd_w1,upd_w2,client_search_time_ms,repeat
Enron,VQNomos,10,26946,31.5423,1
Enron,VQNomos,37,26946,77.2053,1
Enron,VQNomos,38,26946,5.02646,1
Enron,VQNomos,39,26946,4.98029,1
Enron,VQNomos,40,26946,4.95763,1
Enron,VQNomos,41,26946,5.00187,1
Enron,VQNomos,42,26946,4.94867,1
Enron,VQNomos,43,26946,5.07925,1
Enron,VQNomos,44,26946,4.94042,1
Enron,VQNomos,45,26946,4.98104,1
Enron,VQNomos,46,26946,5.03925,1
Enron,VQNomos,47,26946,4.94379,1
Enron,VQNomos,48,26946,4.92321,1
Enron,VQNomos,49,26946,5.01108,1
Enron,VQNomos,50,26946,4.95204,1
Enron,VQNomos,51,26946,5.011,1
Enron,VQNomos,52,26946,5.04708,1
Enron,VQNomos,53,26946,5.00079,1
Enron,VQNomos,54,26946,5.13354,1
Enron,VQNomos,55,26946,5.08092,1
Enron,VQNomos,56,26946,5.17854,1
Enron,VQNomos,57,26946,5.03125,1
Enron,VQNomos,58,26946,5.222,1
Enron,VQNomos,59,26946,5.11121,1
Enron,VQNomos,60,26946,5.04696,1
Enron,VQNomos,61,26946,5.11304,1
Enron,VQNomos,62,26946,5.05654,1
Enron,VQNomos,63,26946,4.92121,1
Enron,VQNomos,64,26946,5.13833,1
Enron,VQNomos,65,26946,5.05663,1
Enron,VQNomos,66,26946,5.01504,1
Enron,VQNomos,67,26946,4.9005,1
Enron,VQNomos,68,26946,5.07996,1
Enron,VQNomos,69,26946,5.10975,1
Enron,VQNomos,70,26946,4.93283,1
Enron,VQNomos,71,26946,4.908,1
Enron,VQNomos,72,26946,4.96446,1
Enron,VQNomos,73,26946,5.15863,1
Enron,VQNomos,74,26946,5.02383,1
Enron,VQNomos,75,26946,4.97042,1
Enron,VQNomos,76,26946,5.09917,1
Enron,VQNomos,77,26946,4.90417,1
Enron,VQNomos,78,26946,5.27929,1
Enron,VQNomos,79,26946,5.24992,1
Enron,VQNomos,80,26946,4.97971,1
Enron,VQNomos,81,26946,5.14912,1
Enron,VQNomos,82,26946,4.98683,1
Enron,VQNomos,83,26946,5.0665,1
Enron,VQNomos,84,26946,5.41733,1
Enron,VQNomos,85,26946,5.26908,1
Enron,VQNomos,86,26946,5.23133,1
Enron,VQNomos,87,26946,5.03596,1
Enron,VQNomos,88,26946,5.048,1
Enron,VQNomos,89,26946,5.01954,1
Enron,VQNomos,90,26946,5.38004,1
Enron,VQNomos,91,26946,5.37538,1
Enron,VQNomos,92,26946,5.31283,1
Enron,VQNomos,93,26946,5.16479,1
Enron,VQNomos,94,26946,5.20483,1
Enron,VQNomos,95,26946,5.28329,1
Enron,VQNomos,96,26946,5.15012,1
Enron,VQNomos,97,26946,5.30371,1
Enron,VQNomos,98,26946,5.18742,1
Enron,VQNomos,99,26946,5.26687,1
Enron,VQNomos,100,26946,5.165,1
Enron,VQNomos,101,26946,4.92271,1
Enron,VQNomos,102,26946,5.07188,1
Enron,VQNomos,103,26946,5.07137,1
Enron,VQNomos,104,26946,4.93533,1
Enron,VQNomos,105,26946,5.07233,1
Enron,VQNomos,106,26946,5.02912,1
Enron,VQNomos,107,26946,4.94487,1
Enron,VQNomos,108,26946,4.95483,1
Enron,VQNomos,109,26946,4.89875,1
