Scheme,N,Keywords,QuerySize,SetupTime,UpdateTime,SearchTime,Storage
Nomos,100,100,10,4.179,4.20504,2.443,21200
MC-ODXT,100,100,10,0.459166,3.82384,4.32867,21200
VQNomos,100,100,10,0.061,4.45373,2.6696,53968
Nomos,500,100,10,0.058,4.45424,2.4077,21200
MC-ODXT,500,100,10,0.08775,3.63301,4.36338,21200
VQNomos,500,100,10,0.059,4.37234,3.0274,53968
Nomos,1000,100,10,0.063,4.65935,2.6096,21200
MC-ODXT,1000,100,10,0.076708,3.73929,4.32315,21200
VQNomos,1000,100,10,0.063,4.27258,2.6034,53968
Nomos,5000,100,10,0.06,4.15447,2.3996,21200
MC-ODXT,5000,100,10,0.078709,3.57372,4.35925,21200
VQNomos,5000,100,10,0.059,4.27658,2.5995,53968
