Scheme,N,Keywords,QuerySize,SetupTime,UpdateTime,SearchTime,Storage
Nomos,100,100,10,1.208,4.25692,2.3845,21200
MC-ODXT,100,100,10,0.096042,3.6182,4.34106,21200
VQNomos,100,100,10,0.075,4.26164,2.5894,53968
Nomos,500,100,10,0.061,4.16086,2.3941,21200
MC-ODXT,500,100,10,0.077542,3.59956,4.34594,21200
VQNomos,500,100,10,0.058,4.23392,2.6041,53968
Nomos,1000,100,10,0.063,4.1747,2.3998,21200
MC-ODXT,1000,100,10,0.077375,3.56505,4.32715,21200
VQNomos,1000,100,10,0.056,4.26876,2.6136,53968
Nomos,5000,100,10,0.063,4.14876,2.4068,21200
MC-ODXT,5000,100,10,0.074875,3.58085,4.35604,21200
VQNomos,5000,100,10,0.059,4.25228,2.622,53968
