Scheme,N,Keywords,QuerySize,SetupTime,UpdateTime,SearchTime,Storage
Nomos,100,100,10,2.503,4.15502,2.4071,21200
MC-ODXT,100,100,10,0.093792,3.6109,4.31897,21200
VQNomos,100,100,10,0.058,4.26638,2.6222,53968
Nomos,500,100,10,0.061,4.19065,2.397,21200
MC-ODXT,500,100,10,0.086375,3.57182,4.36991,21200
VQNomos,500,100,10,0.058,4.23982,2.6166,53968
Nomos,1000,100,10,0.063,4.1409,2.3889,21200
MC-ODXT,1000,100,10,0.087875,3.57948,4.34817,21200
VQNomos,1000,100,10,0.058,4.25079,2.61,53968
Nomos,5000,100,10,0.059,4.15738,2.3983,21200
MC-ODXT,5000,100,10,0.077166,3.5872,4.65613,21200
VQNomos,5000,100,10,0.068,4.26451,2.608,53968
